refOTU designation,A1,A2a,A2b,A2c,A3a,A3b,A4,A5,B1,B2,B3,B4,B5,C1,C2,C3,C4,C5
V3_Collinsella_refOTU_17,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
V3_Collinsella_refOTU_18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
V3_Collinsella_refOTU_19,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
V3_Collinsella_refOTU_20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
V3_Collinsella_refOTU_21,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
V3_Collinsella_refOTU_22,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
V3_Collinsella_refOTU_23,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
V3_Collinsella_refOTU_24,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
V3_Collinsella_refOTU_25,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
V3_Collinsella_refOTU_26,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
V3_Collinsella_refOTU_27,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
V3_Collinsella_refOTU_28,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
V3_Collinsella_refOTU_29,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
V3_Collinsella_refOTU_30,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
V3_Collinsella_refOTU_31,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
V3_Collinsella_refOTU_32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
V3_Collinsella_refOTU_33,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
V3_Collinsella_refOTU_34,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
V3_Collinsella_refOTU_35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
V3_Collinsella_refOTU_36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
V3_Collinsella_refOTU_37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
V3_Collinsella_refOTU_38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
V3_Collinsella_refOTU_39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
V3_Collinsella_refOTU_40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
V3_Eggerthella_refOTU_1,6,0,0,0,0,0,0,19,0,0,0,0,0,0,7,0,4,2
V3_Eggerthella_refOTU_2,2,0,0,0,0,0,2,0,0,3,0,5,14,0,0,0,6,0
V3_Eggerthella_refOTU_3,0,0,0,0,0,0,0,0,4,4,2,3,9,0,0,0,0,0
V3_Eggerthella_refOTU_4,10,0,0,0,0,0,2,0,0,0,0,0,0,6,1,0,2,0
V3_Eggerthella_refOTU_5,2,0,0,0,0,0,6,2,0,0,0,0,0,0,1,4,2,2
V3_Eggerthella_refOTU_6,2,0,8,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0
V3_Eggerthella_refOTU_7,5,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,1
V3_Eggerthella_refOTU_8,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
V3_Eggerthella_refOTU_9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1
V3_Eggerthella_refOTU_10,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0
V3_Eggerthella_refOTU_11,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
V3_Eggerthella_refOTU_12,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
V3_Olsenella_refOTU_1,0,0,0,0,0,0,0,0,0,2,3,0,3,0,0,0,0,0
V3_Olsenella_refOTU_2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
V3_Slackia_refOTU_1,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0
V3_Coriobacteriaceae_refOTU_1,6,2,2,2,0,0,79,8,0,0,0,0,0,6,1,16,78,6
V3_Coriobacteriaceae_refOTU_2,0,0,0,0,0,0,0,0,4,4,0,7,9,0,0,0,0,0
V3_Coriobacteriaceae_refOTU_3,0,0,0,0,0,0,0,0,6,2,0,3,3,0,0,0,0,0
V3_Coriobacteriaceae_refOTU_4,0,0,0,0,0,0,0,0,1,4,0,3,3,0,0,0,0,0
V3_Coriobacteriaceae_refOTU_5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
V3_Bacteroides_refOTU_1,2430,4038,6821,5131,10715,19964,2217,4289,0,0,3,0,124,4499,4589,5382,1977,6605
V3_Bacteroides_refOTU_2,887,3088,2127,4021,42,3301,4098,2445,247,181,0,292,438,1783,2991,3402,4025,3763
V3_Bacteroides_refOTU_3,2772,2,2,0,6,2,1509,1175,0,0,8,0,14,1938,1891,9213,1058,820
V3_Bacteroides_refOTU_4,1074,555,436,712,0,6,800,920,1744,2058,3648,1601,2307,979,1120,506,824,1077
V3_Bacteroides_refOTU_5,0,0,0,2,0,0,2,6,4080,2563,5,5003,4130,1,0,0,0,1
V3_Bacteroides_refOTU_6,0,2,2,0,0,2,0,4,118,258,14502,304,353,0,0,2,0,1
V3_Bacteroides_refOTU_7,0,0,0,0,0,0,0,6,1932,2591,5349,3157,2389,1,0,0,0,0
V3_Bacteroides_refOTU_8,260,755,1372,1066,0,0,1545,565,0,0,9,0,4,724,714,840,1427,830
V3_Bacteroides_refOTU_9,208,817,632,956,8,958,1058,644,0,0,2,0,3,455,778,909,1011,948
V3_Bacteroides_refOTU_10,0,0,0,0,0,0,0,17,1031,1791,2,3001,3153,0,0,2,0,0
V3_Bacteroides_refOTU_11,87,457,426,506,0,39,1674,150,27,102,0,62,90,217,330,1042,1841,249
V3_Bacteroides_refOTU_12,0,0,0,0,2,0,0,4,893,1867,3,1595,1871,0,0,0,0,0
V3_Bacteroides_refOTU_13,181,471,689,602,25,33,182,332,0,0,0,0,4,713,520,464,117,520
V3_Bacteroides_refOTU_14,0,0,0,0,0,0,4,2,414,921,0,792,896,0,0,0,0,0
V3_Bacteroides_refOTU_15,366,49,3,8,144,2,196,4,0,0,0,0,7,1528,10,625,41,4
V3_Bacteroides_refOTU_16,237,0,0,0,0,0,22,23,22,10,623,36,27,68,103,311,16,23
V3_Bacteroides_refOTU_17,2,149,155,244,0,0,192,53,0,0,0,0,0,23,178,94,221,96
V3_Bacteroides_refOTU_18,14,18,43,47,0,0,339,158,0,0,0,0,0,14,38,204,295,195
V3_Bacteroides_refOTU_19,104,116,134,104,29,4,65,41,0,0,0,0,1,354,100,7,37,121
V3_Bacteroides_refOTU_20,151,2,0,4,0,0,121,36,0,0,0,0,0,107,97,45,68,26
V3_Bacteroides_refOTU_21,0,12,8,24,0,16,10,11,21,31,2,248,62,3,4,7,0,15
V3_Bacteroides_refOTU_22,0,0,0,0,0,0,0,0,49,50,212,89,41,0,0,0,0,0
V3_Bacteroides_refOTU_23,22,23,40,28,25,102,12,26,0,0,0,0,0,42,28,34,14,29
V3_Bacteroides_refOTU_24,0,0,0,0,0,0,0,0,79,55,47,53,177,0,0,0,0,0
